Country Name,Country Code,Indicator Name,Indicator Code,Year,Value
Aruba,ABW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,7.62292064930222
Africa Eastern and Southern,AFE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,3.21980299445006
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,
Africa Western and Central,AFW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,3.85976026327238
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,3.05462423430785
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,6.94621659244254
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,3.52836236122388
Arab World,ARB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,6.59810073069697
United Arab Emirates,ARE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,10.852704215378
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,-0.78899893905691
Armenia,ARM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,5.90000000312092
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,
Antigua and Barbuda,ATG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,6.20349167681688
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,3.92151782931303
Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,3.37572214708477
Azerbaijan,AZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,11.0999991434346
Burundi,BDI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,-0.856864058424151
Belgium,BEL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,3.71667938420875
Benin,BEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,5.85771420543269
Burkina Faso,BFA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,1.88847388906525
Bangladesh,BGD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,5.29329471892532
Bulgaria,BGR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,4.58722685869408
Bahrain,BHR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,5.30007005600883
"Bahamas, The",BHS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,4.14841930754267
Bosnia and Herzegovina,BIH,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,5.41431594987489
Belarus,BLR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,5.80000336082973
Belize,BLZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,12.2406140290649
Bermuda,BMU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,9.31715641086083
Bolivia,BOL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,2.50781080899483
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,4.38794944745618
Barbados,BRB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,4.44718962322422
Brunei Darussalam,BRN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,2.84942185782727
Bhutan,BTN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,3.35506830487249
Botswana,BWA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,1.98769583378552
Central African Republic,CAF,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,-2.48943244028874
Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,5.13853918593026
